name,type,address,latitude,longitude,stadsdeel,wijk,active,website_url,photo_url,description,note,seating,toilets,free_water,food_to_buy,own_food_ok,airco,wheelchair_accessible,games,pets_ok,wifi,heat_mon,heat_tue,heat_wed,heat_thu,heat_fri,heat_sat,heat_sun
OBA Molenwijk,library,"Molenwijk 21, 1035 EG Amsterdam",52.4178054,4.8929718,Noord,Oostzanerwerf,yes,OBA Molenwijk | Openbare Bibliotheek Amsterdam,images/locations/oba-molenwijk.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,14:00-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,gesloten
OBA Van der Pek,library,"Gentiaanstraat 1, 1031 AE Amsterdam",52.3909375,4.9117961,Noord,Volewijck,yes,OBA Van der Pek | Openbare Bibliotheek Amsterdam,images/locations/oba-van-der-pek.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,gesloten,gesloten,9:30-17:30,9:30-17:30,9:30-17:30,gesloten,gesloten
OBA Waterlandplein,library,"Waterlandplein 302, 1024 NB Amsterdam",52.3931107,4.9548351,Noord,Waterlandpleinbuurt,yes,OBA Waterlandplein | Openbare Bibliotheek Amsterdam,images/locations/oba-waterlandplein.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,no,yes,yes,yes,yes,no,yes,14:00-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,11:00-17:00,gesloten
ParkCafé,Café,"Ookmeerweg 275, 1067 SP Amsterdam",52.3596283,4.7747372,Nieuw-West,Lutkemeer/Ookmeer,yes,ParkCafé - Herdenkingspark Westgaarde,images/locations/parkcaf.jpg,,,yes,yes,yes,yes,yes,yes,?,no,no,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:30-17:00,09:30-17:00,gesloten
Het EECO,community_center,"S.F. van Ossstraat 1, 1068 JJ Amsterdam",52.3568877,4.8171862,Nieuw-West,Osdorp-Oost,yes,Het EECO - Buurtgroen020,images/locations/het-eeco.jpg,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,10:00-16:00,10:00-16:00,10:00-17:00,10:00-17:00,08:30-17:00,gesloten,gesloten
Stadsarchief,museum,"Vijzelstraat 32, 1017 HL Amsterdam",52.3645642,4.8923981,Centrum,Grachtengordel-Zuid,yes,http://www.amsterdam.nl/stadsarchief/,images/locations/stadsarchief.jpg,"Alleen hulphonden toegestaan. EHBO/BHV aanwezig. Er is een café in hetzelfde gebouw, maar dit wordt niet door het Stadsarchief beheerd. De gratis haltentoonstelling en Schatkamer zijn te bezoeken.",,yes,yes,yes,yes,yes,no,yes,yes,no,,gesloten,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,gesloten,gesloten
WestCord Fashion Hotel Amsterdam,Hotel,"Hendrikje Stoffelsstraat 1, 1058 GC Amsterdam",52.3576724,4.8445387,Nieuw-West,Westlandgracht,yes,WestCord Fashion Hotel Amsterdam - Officiële website,images/locations/westcord-fashion-hotel-amsterdam.jpg,Op de TV's zijn voornamelijk WK wedstrijden te zien.,Geen airco maar een koel klimaat ventilatiesysteem.,yes,yes,yes,yes,no,no,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Stayokay Amsterdam Oost,Hotel,"Timorplein 21, 1094 CC Amsterdam",52.3653615,4.9355026,Oost,Indische Buurt-West,yes,"Hostel Amsterdam Oost, ontdek de Amsterdamse levensstijl | Stayokay",images/locations/stayokay-amsterdam-oost.jpg,Vraag bij de receptie naar de Cool Down Room. Egen consumptie is niet toegestaan,Vraag bij de receptie naar de Cool Down Room.,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Westcord Art Hotel,Hotel,"Spaarndammerdijk 302, 1013 ZX Amsterdam",52.3927795,4.8688489,West,Spaarndammerbuurt/Zeeheldenbuurt,yes,https://westcordhotels.nl/hotel/art-hotel-amsterdam-4-stars/?gad_source=1&gad_campaignid=22742312122&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWOSnnW_g8XB1s1wSJwFQt3Yxc2IcaZAy2Lz-fSzwQO9o6f3U0xeSYaAj1vEALw_wcB,images/locations/westcord-art-hotel.jpg,Fijne werkplek aanwezig en 20% burenkorting.,Fijne werkplek en 20% burenkorting.,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Dynamo Ernst,community_center,"Arent Janszoon Ernststraat 195-197, 1083 GV Amsterdam",52.3319427,4.8837020,Zuid,Buitenveldert-Oost,yes,| Ernst,images/locations/dynamo-ernst.jpg,Check de website voor activiteitenprogramma.,,yes,yes,yes,no,yes,yes,no,yes,no,,09:00 - 16:00,09:00 - 16:00,gesloten,09:00 - 16:00,gesloten,gesloten,gesloten
The July Boat & Co,Hotel,"Revaleiland 500, 1014 ZG Amsterdam",52.3943443,4.8821081,West,Houthavens,yes,https://www.thejuly.com/properties/amsterdam-west?utm_source=triptease_attract&utm_medium=paid_search&utm_campaign=google_search&tt_channel=paidsearch&gad_source=1&gad_campaignid=22206620830&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALWy2D_uWzl3KXYMg8NZMihsFTPR10p0Udui9YCUVAq4sWh_ihz1HSwaAgZYEALw_wcB#space-style-service,images/locations/the-july-boat-co.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Mercure Amsterdam City Hotel,Hotel,"Joan Muyskenweg 10, 1096 CJ Amsterdam",52.3370603,4.9129518,Oost,Omval/Overamstel,yes,Mercure Amsterdam City - viersterrenhotel Amsterdam dicht bij de metro | ALL - ALL,images/locations/mercure-amsterdam-city-hotel.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Leonardo Royal,Hotel,"Paul van Vlissingenstraat 24, 1096 BK Amsterdam",52.3324548,4.9179521,Oost,Omval/Overamstel,yes,Leonardo Royal Hotel Amsterdam | Leonardo Hotels,images/locations/leonardo-royal.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Avani Museum Quarter,Hotel,"Hobbemakade 50, 1071 XL Amsterdam",52.3558245,4.8861173,Zuid,Museumkwartier,yes,https://www.avanihotels.com/en/museum-quarter-amsterdam?campid=8435708&utm_campaign=nh_hotel&utm_source=google&utm_medium=cpc&utm_id=22254186434&utm_source_platform=sa360&gclsrc=aw.ds&gad_source=1&gad_campaignid=22254186434&gclid=Cj0KCQjwo_PRBhDNARIsAEcVALUnPJQAGFPPNVR9unsj0eg-wzlOr6cB7BOS7l5kWOGlyOdpz4k-tZYaAqgzEALw_wcB,images/locations/avani-museum-quarter.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
De Oranjekerk,church,"Van Ostadestraat 151-hs, 1073 TK Amsterdam",52.3527810,4.8954868,Zuid,Nieuwe Pijp,yes,Oranjekerk Amsterdam,images/locations/de-oranjekerk.jpg,,,yes,yes,yes,no,yes,no,yes,yes,yes,,gesloten,09:00–16:00,09:00–16:00,09:00–16:00,09:00–16:00,gesloten,09:45–11:45
Muna café & kringloop,Café,"Kon. Wilhelminaplein 1, 1062 HG Amsterdam",52.3556968,4.8409959,Nieuw-West,Westlandgracht,yes,Kringloop Muna - Wij Zijn Nieuw-West,images/locations/muna-caf-kringloop.jpg,,Locatie biedt een programma of activiteit. Gratis gekoeld drinken (water met ijs),yes,yes,yes,yes,no,yes,yes,yes,yes,,gesloten,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,gesloten
AMC Sport Centrum (ASC),community_center,"Meibergdreef 27, 1105 AZ Amsterdam",52.2923336,4.9590376,Zuidoost,Amstel III/Bullewijk,yes,USC ASC - Fitness en groepslessen in Amsterdam Zuid-Oost,images/locations/amc-sport-centrum-asc.jpg,,Wifi aanwezig en bezoekers kunnen hier met hun laptop werken. Snackautomaat aanwezig.,yes,yes,yes,no,yes,yes,no,yes,no,yes,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,gesloten,gesloten
Hemelsbreed Café,Café,"Karspeldreef 1227, 1104 SE Amsterdam",52.3158252,4.9772983,Zuidoost,Bijlmermuseum,yes,Koffiecafé en lunchroom in Amsterdam Zuidoost,images/locations/hemelsbreed-caf.jpg,,Voor huisdieren zijn alleen honden toegstaan.,yes,yes,yes,yes,no,yes,no,yes,no,,gesloten,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,09:30-17:00,gesloten
Café Groenhoven,Café,"Groenhoven 650, 1103 LT Amsterdam",52.3262432,4.9764310,Zuidoost,Geerdinkhof/Kantershof,yes,Collectief Groenhoven | Amsterdam Zuidoost — VvE Groenhoven,images/locations/caf-groenhoven.jpg,"Een echte verborgen schat in de stad. Een beetje lastig te vinden, maar het is de moeite waard. Route naar ingang: loop bij toren 3 (300-nummers) de binnenstraat in. Na het passeren van toren 6 zie je aan de rechterkant een patio waar in de toegang tot het collectief en cafe zich bevinden.",,yes,yes,yes,no,yes,yes,no,yes,no,,gesloten,gesloten,18:00 - 23:00,12:00 - 00:00,12:00 - 00:00,20:00 - 01:00,17:00 - 22:00
The Social Hub Amsterdam City,Hotel,"Wibautstraat 129, 1091 GL Amsterdam",52.3545699,4.9132036,Oost,Weesperzijde,yes,https://www.thesocialhub.co/amsterdam-city/?utm_source=google&utm_medium=cpc&utm_campaign=all_ams02_always-on_b2c&utm_content=nld-en&utm_source_platform=google_brand&utm_creative_format=text&utm_marketing_tactic=convert&gad_source=1&gad_campaignid=23807824253&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa2YksFexzcfJYWJJwh8O7gVcCyoG9Igxb558WRgyZu6iF2GgS_gl8YaAj3wEALw_wcB,images/locations/the-social-hub-amsterdam-city.jpg,,De locatie is momenteel in verbouwing. Houd daarom rekening met minder plekken dan gebruikelijk.,yes,yes,yes,yes,no,yes,yes,no,yes,yes,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,07:00-0:00,10:00-22:00,08:00-23:00
The Social Hub Amsterdam West,Hotel,"van de Sande Bakhuijzenstraat 4, 1061 AG Amsterdam",52.3718818,4.8370738,Nieuw-West,Overtoomse Veld,yes,"Amsterdam West Hotel, Student Accommodation and Coworking - The Social Hub",images/locations/the-social-hub-amsterdam-west.jpg,,De locatie is momenteel in verbouwing. Houd daarom rekening met minder plekken dan gebruikelijk.,yes,yes,yes,yes,no,yes,yes,no,yes,yes,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,07:00-0:00,10:00-22:00,08:00-23:00
Die Port van Cleve,Hotel,"Nieuwezijds Voorburgwal 176-180, 1012 SJ Amsterdam",52.3741251,4.8907713,Centrum,Burgwallen-Nieuwe Zijde,yes,https://www.dieportvancleve.com/nl?gad_source=1&gad_campaignid=22335790265&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa3ickUWbRzgqQ4Z_ImqyeYifiAo6sFQDAQJQ1azacnR-mA3anGswDwaAhuHEALw_wcB,images/locations/die-port-van-cleve.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Hotel Casa,Hotel,"Eerste Ringdijkstraat 4, 1097 BC Amsterdam",52.3499805,4.9185605,Oost,Frankendael,yes,https://hotelcasa.nl/nl?p=base&c=search&lg=nl-NL,images/locations/hotel-casa.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
NHOW,Hotel,"Europaboulevard 2b, 1078 RV Amsterdam",52.3384433,4.8910067,Zuid,Zuidas,yes,https://www.nhow-hotels.com/nl/nhow-amsterdam-rai?campid=8435708&utm_campaign=nh_pure&utm_source=google&utm_medium=cpc&utm_id=22316412928&utm_source_platform=sa360&gclsrc=aw.ds&gad_source=1&gad_campaignid=22316412928&gclid=Cj0KCQjwxvjRBhC2ARIsAI7KJa0StIjCyDKfltcRR3izDlWeLFjuaz8g5DOZ2fD2sSqwIWaiZQVvvmYaAsd0EALw_wcB,images/locations/nhow.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
The Lancaster,Hotel,"Plantage Middenlaan 48, 1018 DH Amsterdam",52.3658572,4.9128723,Centrum,Weesperbuurt/Plantage,yes,Leonardo Boutique Hotel The Lancaster Amsterdam,images/locations/the-lancaster.jpg,,,yes,yes,yes,yes,no,yes,yes,no,no,yes,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00,7:00-23:00
Stichting Virginlight Global Church,church,"Paasheuvelweg 14, 1105 BH Amsterdam",52.2977507,4.9509666,Zuidoost,Amstel III/Bullewijk,yes,: https://virginlightglobal.org/,images/locations/stichting-virginlight-global-church.jpg,,Gratis waterijsje & gratis fruit,yes,yes,yes,yes,no,yes,no,yes,no,,gesloten,,,,,,
museum Rembrandthuis,museum,"Jodenbreestraat 4, 1011 NK Amsterdam",52.3693692,4.9012496,Centrum,Nieuwmarkt/Lastage,yes,Home - Rembrandthuis,images/locations/museum-rembrandthuis.jpg,,"Gratis toegang voor Amsterdammers met een Stadspas. Bezoekers zonder Stadspas zijn welkom om gratis in de hal te zitten en water te drinken, maar hebben geen toegang tot het museum. Hulphonden zijn toegestaan.",yes,yes,yes,no,yes,yes,yes,yes,no,,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00
Amsta De Poort,community_center,"Hugo de Grootkade 18-28, 1052 LS Amsterdam",52.3732043,4.8739795,West,Frederik Hendrikbuurt,yes,Overtoom | Amsta,images/locations/amsta-de-poort.jpg,,Voorste gebouw op het terrein. Weekend tot 16.00 uur restaurant geopend.,yes,yes,yes,yes,yes,yes,yes,yes,no,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00
Amsta - Dr. Sarphatihuis,community_center,"Roetersstraat 2, 1018 WC Amsterdam",52.3640148,4.9106604,Centrum,Weesperbuurt/Plantage,yes,Amsta | Zorg op z'n Amsterdams,images/locations/amsta-dr-sarphatihuis.jpg,,,yes,yes,yes,no,yes,yes,yes,yes,no,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00
CREA,Café,"Nieuwe Achtergracht 170, 1018 WV Amsterdam",52.3632856,4.9128555,Centrum,Weesperbuurt/Plantage,yes,"CREA | cultureel studentencentrum – cursussen, cultuur, café, studio- en zaalhuur en meer",images/locations/crea.jpg,,,yes,yes,yes,yes,no,no,yes,yes,no,yes,gesloten,,,,,,
Amstelring Leo Polak,community_center,"Saaftingestraat 8, 1069 BW Amsterdam",52.3626996,4.7890415,Nieuw-West,Osdorp-Midden,yes,Leo Polak | Amstelring,images/locations/amstelring-leo-polak.jpg,Alleen voor senioren,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,12:00-19:00,10:00-18:00,10:00-18:00,10:00-18:00,11:00-19:00,11:00-19:00,10:00-18:00
Huis van de Wijk De Meeuw,community_center,"Motorwal 300, 1021 PH Amsterdam",52.3844363,4.9177705,Noord,IJplein/Vogelbuurt,yes,https://huisvandewijknoord.nl/locatie/de-meeuw/,images/locations/huis-van-de-wijk-de-meeuw.jpg,"Hier vind je: ventilatoren, kinderspeelplek, tuin met parasollen, spelletjes (bijv. sjoelbak)",,yes,yes,yes,no,yes,no,yes,yes,yes,yes,09.00- 17.00,09.00- 17.00,09.00- 17.00,09.00- 17.00,09.00- 17.00,gesloten,gesloten
Huis van de Wijk Waterlandplein,community_center,"Waterlandplein 302, 1024 NB Amsterdam",52.3931107,4.9548351,Noord,Waterlandpleinbuurt,yes,Waterlandplein – Huis van de wijk Noord,images/locations/huis-van-de-wijk-waterlandplein.jpg,"Hier vind je: ventilatoren, een park in de buurt en een directe verbinding met de OBA voor (kinder) boeken",,yes,yes,yes,yes,yes,no,yes,no,yes,yes,09:00-17:30,09:00-17:30,09:00-17:30,09:00-20:00,09:00-17:30,09:00-17:30,gesloten
Huis van de Wijk De Banne,community_center,"Bezaanjachtplein 243, 1034 CR Amsterdam",52.4077001,4.9169390,Noord,Banne Buiksloot,yes,De Banne – Huis van de wijk Noord,images/locations/huis-van-de-wijk-de-banne.jpg,Elke woensdag en vrijdag kan je mee-eten voor 5 euro (cash en gepast betalen),"Openingstijden variëren, maar langer geopend op hete dagen (tot max 19.30)",yes,yes,yes,yes,yes,no,yes,yes,no,yes,gesloten,09.00- 18:00,09.00- 18.00,09.00- 18:00,09.00- 18:00,gesloten,gesloten
OBA Diemen,library,"Theater De Omval, Ouddiemerlaan 104, 1111 HL Diemen",52.3420581,4.9647306,Diemen,Diemen Centrum,yes,OBA Diemen,images/locations/oba-diemen.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,yes,yes,yes,no,yes,yes,yes,yes,no,yes,09:30-17:30,09:30-22:00,09:30-22:00,09:30-22:00,09:30-17:30,09:30-17:30,gesloten
OBA Next lab Kraainnest,library,"Kraaiennest 80, 1104 CE Amsterdam",52.3167920,4.9796818,Zuidoost,Bijlmermuseum,yes,OBA Next Lab Kraaiennest,images/locations/oba-next-lab-kraainnest.jpg,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan.,Eigen eten alleen toegestaan op aangewezen plekken. Geen sterk geurend of overlastgevend eten. Hulphonden toegestaan. Let op! Niet het volledige gebouw is gekoeld. De Roots Library (naam van een ruimte) is openbaar toegankelijk en heeft wel airco.,yes,yes,yes,no,yes,yes,yes,yes,no,yes,14:00-20:00,14:00-20:00,14:00-20:00,14:00-20:00,14:00-20:00,gesloten,gesloten
AH Waterlandplein,supermarket,"Waterlandplein 255, 1024 LT Amsterdam",52.3928007,4.9554083,Noord,Waterlandpleinbuurt,yes,Albert Heijn,images/locations/ah-waterlandplein.jpg,,,yes,yes,yes,yes,yes,yes,yes,no,no,yes,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00
Huis van de Wijk de Evenaar,community_center,"Kometensingel 189, 1033 BE Amsterdam",52.4143807,4.8864546,Noord,Tuindorp Oostzaan,yes,De Evenaar – Huis van de wijk Noord,images/locations/huis-van-de-wijk-de-evenaar.jpg,,,yes,yes,yes,yes,yes,no,yes,yes,,yes,gesloten,gesloten,,,,,
De Nieuwe Ooster,Café,"Kruislaan 126, 1097 GA Amsterdam",52.3456100,4.9388356,Oost,Betondorp,yes,https://denieuweooster.nl/,images/locations/de-nieuwe-ooster.jpg,"Van dinsdag tot en met zondag, tussen 11.00 en 17.00 uur, zijn consumpties tegen betaling verkrijgbaar bij Café Roosenburgh.",,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,10:00-17:00,10:00-17:00
Buurthuis de Boomsspijker,community_center,"Recht Boomssloot 52, 1011 EC Amsterdam",52.3719578,4.9034827,Centrum,Nieuwmarkt/Lastage,yes,Huis van de Buurt De Boomsspijker › Stichting DOCK,images/locations/buurthuis-de-boomsspijker.jpg,,,yes,yes,yes,no,yes,yes,yes,yes,no,yes,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,gesloten,gesloten
Poolbar de Gracht,Café,"Nieuwe Achtergracht 110, 1018 WT Amsterdam",52.3626538,4.9097061,Centrum,Weesperbuurt/Plantage,yes,https://poolbar-degracht.nl/,images/locations/poolbar-de-gracht.jpg,EHBO'er soms aanwezig. Gratis gekoeld water.,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,12:00-01:00,12:00-01:00,12:00-01:00,12:00-01:00,12:00-03:00,12:00-03:00,12:00-01:00
